"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Switzerland","CHE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","91.4800033569336","","","","","","","","","","94.5599975585938","","","","","","","","","","95.8000030517578","","","","","","","","","96.9000015258789","","96.3899993896484","","97.0199966430664","","96.4800033569336","","","","","","","","",
"China","CHN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","79.1900024414062","","","","","","","","87.0199966430664","","","","","","","","","","95.1399993896484","","","","","","","","","","97.4800033569336","","","","","","","","","","98.379997253418","","","","","",
"Cote d'Ivoire","CIV","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.3600006103516","","","","","","","","","","43.9500007629395","","60.8600006103516","","","","","","","","","","","","","","50.7000007629395","","59.6199989318848","","","67.6538640926991","","60.2000007629395","68.0332457499755","","","",
"Cameroon","CMR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","54.6300010681152","","","","","","","","","","","","","","","","","","","","","","","","79.1900024414062","","","","","","","78.9499969482422","","","78.120002746582","","","","","","","","79.7099990844727","","","","","","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.9199981689453","","","","","","","","","","","87.9100036621094","","","","88.5199966430664","","87.5100021362305","","","","","","","",
"Congo, Rep.","COG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","71.3300018310547","","","","","","","","","","","","","","","","","","","","","86.0500030517578","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.9700012207031","","","91.0899963378906","","","","","","","","92.9000015258789","92.7799987792969","92.3899993896484","92.4300003051758","93.3199996948242","93.0599975585938","93.25","93.4899978637695","","","93.870002746582","94.0599975585938","94.4000015258789","94.7283092098286","94.8499984741211","95.0199966430664","95.379997253418","95.4864009724528","95.1198040520605","95.2945175859087","94.9700012207031","",
"Comoros","COM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","55.9799995422363","","","","","","","","","","","","","","","","","","","","74.0199966430664","","","","","","","","","","","","","","78.0351425252311","","","","","","","79.8882925933254","","","","",
